Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference,M,g/g,g/g_err,mol/g,mol/g_err
K,NIST614,30,1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,39.0983,3E-05,1E-06,7.6729678783988E-07,2.55765595946627E-08
Sc,NIST614,0.74,,,ug/g,GeoReM 5211,Jochum et al 2011,44.95591,7.4E-07,,1.64605721472438E-08,
Ti,NIST614,3.61,0.25,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,47.867,3.61E-06,2.5E-07,7.5417302107924E-08,5.22280485511939E-09
V,NIST614,1.01,0.04,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,50.9415,1.01E-06,4E-08,1.98266639184162E-08,7.85214412610544E-10
Cr,NIST614,1.19,0.12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,51.9961,1.19E-06,1.2E-07,2.28863318595049E-08,2.30786539759713E-09
Mn,NIST614,1.42,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,54.938049,1.42E-06,7E-08,2.58472957421549E-08,1.27416246616257E-09
Fe,NIST614,18.8,6,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,55.845,1.88E-05,6E-06,3.36646073954696E-07,1.0744023636852E-07
Co,NIST614,0.79,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.9332,7.9E-07,9E-08,1.34050077036373E-08,1.52715277636375E-09
Ni,NIST614,1.1,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.6934,1.1E-06,1E-07,1.87414598574968E-08,1.70376907795425E-09
Cu,NIST614,1.37,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,63.546,1.37E-06,7E-08,2.15591854719416E-08,1.1015642211941E-09
Zn,NIST614,2.79,0.38,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,65.409,2.79E-06,3.8E-07,4.26546805485484E-08,5.80959806754422E-09
Ga,NIST614,1.31,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,69.723,1.31E-06,9E-08,1.8788635027179E-08,1.29082225377566E-09
Ge,NIST614,0.942,0.096,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,72.64,9.42E-07,9.6E-08,1.29680616740088E-08,1.3215859030837E-09
As,NIST614,0.74,0.23,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,74.9216,7.4E-07,2.3E-07,9.87699141502584E-09,3.0698757100756E-09
Se,NIST614,0.4,0.08,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,78.96,4E-07,8E-08,5.06585612968592E-09,1.01317122593718E-09
Rb,NIST614,0.855,0.005,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,85.4678,8.55E-07,5E-09,1.0003767500743E-08,5.85015643318303E-11
